Date,Platform,utm_campaign,leads_na
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_COMPETITORS_ALL_CAROUSEL_CAMPAIGN_HIGH+CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD, 1
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_COMPETITORS_ALL_CAROUSEL_INFLUENCER_HIGH+CONTRAST_CAROUSEL_SMSHOOT_STYLING_PDP_DRESSES_MAQUINO-RINGWALD-BLUEBELL-MIDDLETON, 1
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_COMPETITORS_ALL_CAROUSEL_PRODUCT_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_PDP_MIX_SELAH-SOLANGE-IRINA-RENYOLDS-MARLEY, 2
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_HHI_ALL_CAROUSEL_INFLUENCER_HIGH+CONTRAST_CAROUSEL_SMSHOOT_STYLING_PDP_DRESSES_MAQUINO-RINGWALD-BLUEBELL-MIDDLETON, 1
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_HHI_ALL_LINKAD_CAMPAIGN_ANTI-FAST-FASHION_LINKAD_PRODUCT+_BRAND_CATEGORY_MIX_RADHIKA-MARLEY, 1
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_LOOKALIKE_ALL_CAROUSEL_INFLUENCER_HIGH+CONTRAST_CAROUSEL_SMSHOOT_STYLING_PDP_DRESSES_MAQUINO-RINGWALD-BLUEBELL-MIDDLETON, 1
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_SUSTAINABILITY_ALL_CAROUSEL_CAMPAIGN_ANTI-FAST-FASHION_CAROUSEL_PRODUCT_BRAND_CATEGORY+_MIX_CHIARA-SOROYA-ELINOR-ALDRIDGE, 1
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_SUSTAINABILITY_ALL_CAROUSEL_PRODUCT_HIGH+CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_REESE-DEVILLE-JO-BLUEBELL, 1
2017-05-16,Facebook,CONTEMPORARY_USA_ALL_36-45_SUSTAINABILITY_ALL_LINKAD_CAMPAIGN_ANTI-FAST-FASHION_LINKAD_PRODUCT_BRAND_CATEGORY _JUMPSUIT_GILROY, 1
2017-05-16,Facebook,CONTEMPORARY-NIGHT_AUS_NA_ALL_NA_ALL_CAROUSEL_PRODUCT_EVENING_CAROUSEL_PRODUCT_NA_PDP_DRESSES_AXIS-LYRA-TWILIGHT-PISCES-IRVINE-SATTELITE, 2
2017-05-16,Facebook,PROM_CAN_ALL_19-20_NA_M_CAROUSEL_PRODUCT_DRAMATIC_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_GALACTIC-BOREALIS-NOVA-VELA, 1
2017-05-16,Facebook,PROM_RE_CAN_ALL_17-19_RE_ALL_CAROUSEL_PRODUCT_GIRLY_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_CLAUDIE-SATELLITE-AXIS-ROSEWATER, 1
2017-05-16,Facebook,PROM_RE_USA_ALL_17-19_RE_ALL_CAROUSEL_PRODUCT_BEST+SELLERS_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_JO-TILBURY-LENAH-LUCID, 3
2017-05-16,Facebook,PROM_USA_ALL_19-20_NA_M_CAROUSEL_PRODUCT_DRAMATIC_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_GALACTIC-BOREALIS-NOVA-VELA, 1
2017-05-16,Facebook,PROM_USA_ALL_19-20_NA_M_CAROUSEL_PRODUCT_EDGY_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_SAGGITARIUS-ARA-BACKLESSHAVEN-PISCES, 2
2017-05-16,Facebook,PROM_USA_ALL_19-20_NA_M_CAROUSEL_PRODUCT_GIRLY_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_VALENTINA-SATELLITE-ALIJA-RETROGRADE, 1
2017-05-16,Facebook,WEDDING_USA_ALL_26-35_BRIDESMAID_ALL_CAROUSEL_PRODUCT_MODERNBRIDESMAID_CAROUSEL_PRODUCT_BRAND_CATEGORY_DRESSES_MAE-JULIANNE-YVETTE-LORRAINE, 2
2017-05-16,Instagram,CONTEMPORARY_USA_ALL_28-35_ALL+_ALL_LINKAD_PRODUCT_ANTI-FAST-FASHION_LINKAD_PRODUCT_BRAND_CATEGORY_MIX_JENSEN-STEPHANIA, 1
2017-05-16,Instagram,CONTEMPORARY_USA_ALL_28-35_SUSTAINABILITY+_ALL_LINKAD_PRODUCT_ANTI-FAST-FASHION_LINKAD_PRODUCT_BRAND_CATEGORY_MIX_JENSEN-STEPHANIA, 1
2017-05-16,Instagram,CONTEMPORARY_USA_COMPETITORS_36-45_ALL_ALL_LINKAD_CAMPAIGN_HIGH+CONTRAST_STILL_PRODUCT_CTA_PDP_DRESSES_RINGWALDS, 1
2017-05-16,Other,CONTEMPORARY-NIGHT_AUS_NA_ALL_NA_ALL_CAROUSEL_PRODUCT_EVENING_CAROUSEL_PRODUCT_NA_PDP_DRESSES_AXIS-LYRA-TWILIGHT-PISCES-IRVINE-SATTELITE, 1
2017-05-16,Other,POLYVORE_US, 5
2017-05-16,Other,SRECAP_PROS_B_1OF4, 1
2017-05-16,Other,UTM_CAMPAIGN, 5
2017-05-17,Facebook,ALL-RETARGETING_USA_ALL_ALL_VIEW-NOT-PURCHASE_D_CAROUSEL_PRODUCT_NA_CAROUSEL_PRODUCT_BRAND_PDP_NA_NA, 3
2017-05-17,Facebook,ALL-RETARGETING_USA_ALL_ALL_VIEW-NOT-PURCHASE_M_CAROUSEL_PRODUCT_NA_CAROUSEL_PRODUCT_BRAND_PDP_NA_NA, 1
2017-05-17,Facebook,ALL-RETARGETING_USA_ALL_ALL_VIEW-NOT-PURCHASE_M_CAROUSEL_PRODUCT_NA_CAROUSEL_PRODUCT_CTA_PDP_NA_NA, 3
